training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,predicted_IG_change,observed_logit_change,renormalized
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,top,-1,2.24252643551813,2.24252643551813,2.1535558382713216,2.24252643551813,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,top,-1,2.104421611267071,2.104421611267071,2.1535558382713216,2.104421611267071,True
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,0,-0.053513868742584236,0.053513868742584236,-0.056255358871915524,-0.053513868742584236,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,1,-0.05787833676004084,0.05787833676004084,-0.07228842181331936,-0.05787833676004084,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,2,-0.10560508433468385,0.10560508433468385,-0.10633082245991696,-0.10560508433468385,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,3,0.08834923068229728,0.08834923068229728,0.09556650836856567,0.08834923068229728,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,4,0.030054622802026643,0.030054622802026643,0.041550754256725414,0.030054622802026643,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,5,0.1146390093761056,0.1146390093761056,0.11788916068644652,0.1146390093761056,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,6,0.018543201507327467,0.018543201507327467,0.00995875167152515,0.018543201507327467,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,7,-0.03412148109669033,0.03412148109669033,-0.03248311667057396,-0.03412148109669033,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,8,0.13132972554217304,0.13132972554217304,0.14311316123138607,0.13132972554217304,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,9,0.12432251805125816,0.12432251805125816,0.1470416954820328,0.12432251805125816,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,10,0.018739279255441943,0.018739279255441943,0.018613997596210616,0.018739279255441943,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,11,0.117980844571548,0.117980844571548,0.11061615455188586,0.117980844571548,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,12,-0.017998428958208024,0.017998428958208024,-0.019534144094965067,-0.017998428958208024,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,13,0.12704124969900477,0.12704124969900477,0.13048847497392885,0.12704124969900477,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,14,0.14840792955715187,0.14840792955715187,0.15379248197643297,0.14840792955715187,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,15,0.07442654940405191,0.07442654940405191,0.08373517805773269,0.07442654940405191,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,16,0.058872031403780056,0.058872031403780056,0.06059655351730676,0.058872031403780056,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,17,0.15722364405360167,0.15722364405360167,0.15458826058791608,0.15722364405360167,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,18,0.026771163215244087,0.026771163215244087,0.030777533832052645,0.026771163215244087,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,25,matched_random,19,0.08290193545940383,0.08290193545940383,0.09150092617650277,0.08290193545940383,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,top,-1,5.470832197041773,5.470832197041773,5.382003340841999,5.470832197041773,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,top,-1,5.242250889535853,5.242250889535853,5.382003340841999,5.242250889535853,True
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,0,0.04460716515677632,0.04460716515677632,0.060813222510268786,0.04460716515677632,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,1,0.0743054599995503,0.0743054599995503,0.07339885180073145,0.0743054599995503,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,2,0.3090035296602309,0.3090035296602309,0.3116700679396676,0.3090035296602309,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,3,-0.027855465278435076,0.027855465278435076,-0.02735289405623213,-0.027855465278435076,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,4,0.06386964569264819,0.06386964569264819,0.0621292934557238,0.06386964569264819,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,5,0.2558554760410061,0.2558554760410061,0.2552581570399991,0.2558554760410061,False
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,100,matched_random,6,0.12116419434664749,0.12116419434664749,0.11321508066659419,0.12116419434664749,False
